Year,Album,Artist,Nominated,Winner,Genre,CSPC,Spotify Streams,Global Sales,Other Grammys Won (TF)
2000,The Slim Shady LP,Eminem,FALSE,FALSE,Rap,"193,980,000","986,296,893","10,390,000",TRUE
2000,Supernatural,Santana,TRUE,TRUE,Rock,"144,830,000","559,331,115","30,000,000",TRUE
2000,FanMail,TLC,TRUE,FALSE,Other,"40,976,000","1,210,222,581","10,000,000",TRUE
2000,Fly,Dixie Chicks,TRUE,FALSE,Country,"19,450,000",,"11,659,000",TRUE
2000,Millennium,Backstreet Boys,TRUE,FALSE,Pop,"97,287,000","1,208,164,861","24,000,000",TRUE
2000,When I Look in Your Eyes,Diana Krall,TRUE,FALSE,Jazz,"16,345,000",,"1,470,000",TRUE
2001,The Marshall Mathers LP,Eminem,TRUE,FALSE,Rap,"193,980,000","2,195,874,378","23,340,000",TRUE
2001,Two Against Nature,Steely Dan,TRUE,TRUE,Rock,"41,493,000",,"1,100,000",TRUE
2001,Kid A,Radiohead,TRUE,FALSE,Rock,"13,670,000",,"3,450,000",TRUE
2001,Midnite Vultures,Beck,TRUE,FALSE,Country,"10,036,000",,"800,000",TRUE
2001,You're the One,Paul Simon,TRUE,FALSE,Rock,"52,105,000",,"560,000",TRUE
2003,The Eminem Show,Eminem,TRUE,FALSE,Rap,"193,980,000","3,523,206,999","23,020,000",TRUE
2003,Come Away with Me,Norah Jones,TRUE,TRUE,Country,"51,922,000","1,034,610,563","27,100,000",TRUE
2003,Home,Dixie Chicks,TRUE,FALSE,Country,"19,450,000",,"6,030,000",TRUE
2003,Nellyvile,Nelly,TRUE,FALSE,Rap,"24,952,000",,"9,400,000",TRUE
2003,The Rising,Bruce Springsteen,TRUE,FALSE,Rock,"159,773,000",,"2,900,000",TRUE
2006,Encore,Eminem,FALSE,FALSE,Rap,"193,980,000","1,451,720,415","11,030,000",TRUE
2006,How to Dismantle an Atomic Bomb,U2,TRUE,TRUE,Rock,"198,371,000",,"9,000,000",TRUE
2006,Chaos and Creation in the Backyard,Paul McCartney,TRUE,FALSE,Rock,"111,315,000",,"1,500,000",TRUE
2006,The Emancipation of Mimi,Mariah Carey,TRUE,FALSE,Pop,"172,569,000","571,778,493","10,000,000",TRUE
2006,Late Registration,Kanye West,TRUE,FALSE,Rap,"43,385,000","1,353,105,564","3,100,000",TRUE
2006,Love. Angle. Music. Baby.,Gwen Stefani,TRUE,FALSE,Other,"20,235,000",,"7,000,000",TRUE
2011,Recovery,Eminem,TRUE,FALSE,Rap,"193,980,000","2,927,860,553","8,340,000",TRUE
2011,The Suburbs,Arcade Fire,TRUE,TRUE,Other,"2,341,000",,"1,020,000",TRUE
2011,The Fame Monster,Lady Gaga,TRUE,FALSE,Pop,"71,625,000","3,310,379,948","5,600,000",TRUE
2011,Need you now,Lady Antebellum,TRUE,FALSE,Country,"12,570,000",,"7,570,000",TRUE
2011,Teenage Dream,Katy Perry,TRUE,FALSE,Pop,"52,941,000","3,530,835,849","6,300,000",TRUE
2015,The Marshall Mathers LP 2,Eminem,FALSE,FALSE,Rap,"193,980,000",,"4,770,000",TRUE
2015,Morning Phase,Beck,TRUE,TRUE,Jazz,"10,036,000",,"600,000",TRUE
2015,Beyoncé,Beyoncé,TRUE,FALSE,Pop,"84,533,000","2,534,351,224","5,000,000",TRUE
2015,Girl,Pharrell Williams,TRUE,FALSE,Pop,"4,440,000","1,374,472,056","1,200,000",TRUE
2015,In the Lonely Hour,Sam Smith,TRUE,FALSE,Pop,"29,456,000","5,164,462,107","12,000,000",TRUE
2015,x,Ed Sheeran,TRUE,FALSE,Pop,"77,110,000","8,447,228,988","9,090,000",TRUE
